,Age,Gender,Education Level,Field,Years of Experience,Salary
0,32.0,Male,Bachelor's,Software Development,5.0,90000.0
1,28.0,Female,Master's,Research and Analysis,3.0,65000.0
2,45.0,Male,PhD,Management and Leadership,15.0,150000.0
3,36.0,Female,Bachelor's,Sales and Marketing,7.0,60000.0
4,52.0,Male,Master's,Management and Leadership,20.0,200000.0
5,29.0,Male,Bachelor's,Sales and Marketing,2.0,55000.0
6,42.0,Female,Master's,Operations and Project Management,12.0,120000.0
7,31.0,Male,Bachelor's,Management and Leadership,4.0,80000.0
8,26.0,Female,Bachelor's,Sales and Marketing,1.0,45000.0
9,38.0,Male,PhD,Research and Analysis,10.0,110000.0
10,29.0,Male,Master's,Software Development,3.0,75000.0
11,48.0,Female,Bachelor's,Management and Leadership,18.0,140000.0
12,35.0,Male,Bachelor's,Finance and Accounting,6.0,65000.0
13,40.0,Female,Master's,Operations and Project Management,14.0,130000.0
14,27.0,Male,Bachelor's,Customer Service and Support,2.0,40000.0
15,44.0,Male,Bachelor's,Management and Leadership,16.0,125000.0
16,33.0,Female,Master's,Sales and Marketing,7.0,90000.0
17,39.0,Male,PhD,Software Development,12.0,115000.0
19,51.0,Male,Bachelor's,Management and Leadership,22.0,180000.0
20,34.0,Female,Master's,Management and Leadership,5.0,80000.0
21,47.0,Male,Master's,Management and Leadership,19.0,190000.0
22,30.0,Male,Bachelor's,Information Technology,2.0,50000.0
23,36.0,Female,Bachelor's,Human Resources and Recruitment,9.0,60000.0
24,41.0,Male,Master's,Finance and Accounting,13.0,140000.0
25,28.0,Female,Bachelor's,Sales and Marketing,3.0,45000.0
26,37.0,Female,Master's,Software Development,11.0,110000.0
27,24.0,Male,Bachelor's,Software Development,1.0,40000.0
28,43.0,Female,PhD,Management and Leadership,15.0,140000.0
29,33.0,Male,Master's,Creative and Design,6.0,90000.0
30,50.0,Male,Bachelor's,Management and Leadership,25.0,250000.0
31,31.0,Female,Bachelor's,Sales and Marketing,4.0,55000.0
32,29.0,Male,Master's,Research and Analysis,3.0,75000.0
33,39.0,Female,Bachelor's,Sales and Marketing,10.0,65000.0
34,46.0,Male,PhD,Management and Leadership,20.0,170000.0
35,27.0,Male,Bachelor's,Information Technology,2.0,45000.0
36,35.0,Female,Bachelor's,Human Resources and Recruitment,7.0,60000.0
37,42.0,Male,Master's,Operations and Project Management,14.0,115000.0
38,26.0,Female,Bachelor's,Customer Service and Support,1.0,40000.0
39,49.0,Male,Bachelor's,Sales and Marketing,21.0,160000.0
40,34.0,Female,Master's,Creative and Design,5.0,80000.0
41,48.0,Male,Master's,Management and Leadership,18.0,190000.0
42,30.0,Male,Bachelor's,Software Development,3.0,60000.0
43,36.0,Female,Bachelor's,Management and Leadership,8.0,45000.0
44,41.0,Male,Master's,Management and Leadership,13.0,130000.0
46,32.0,Male,Bachelor's,Sales and Marketing,5.0,75000.0
47,45.0,Female,Master's,Management and Leadership,16.0,180000.0
48,38.0,Male,PhD,Research and Analysis,11.0,120000.0
49,25.0,Male,Bachelor's,Customer Service and Support,0.0,35000.0
50,51.0,Female,Bachelor's,Management and Leadership,22.0,130000.0
51,33.0,Male,Master's,Research and Analysis,7.0,85000.0
53,47.0,Male,Master's,Finance and Accounting,19.0,200000.0
54,29.0,Female,Bachelor's,Creative and Design,3.0,50000.0
55,36.0,Male,Bachelor's,Management and Leadership,9.0,95000.0
56,27.0,Female,Master's,Creative and Design,2.0,65000.0
57,43.0,Male,PhD,Software Development,17.0,140000.0
58,30.0,Female,Bachelor's,Sales and Marketing,4.0,55000.0
59,35.0,Male,Master's,Operations and Project Management,7.0,105000.0
60,51.0,Female,Master's,Management and Leadership,23.0,170000.0
61,29.0,Male,Bachelor's,Sales and Marketing,3.0,50000.0
62,40.0,Female,Bachelor's,Management and Leadership,12.0,80000.0
63,47.0,Male,PhD,Research and Analysis,21.0,180000.0
64,26.0,Male,Bachelor's,Sales and Marketing,1.0,35000.0
65,38.0,Female,Master's,Management and Leadership,10.0,90000.0
66,46.0,Male,Bachelor's,Management and Leadership,19.0,120000.0
67,31.0,Female,Bachelor's,Customer Service and Support,5.0,45000.0
68,34.0,Male,Master's,Management and Leadership,8.0,90000.0
69,49.0,Female,Master's,Finance and Accounting,18.0,150000.0
70,33.0,Male,Bachelor's,Software Development,6.0,65000.0
71,39.0,Female,Bachelor's,Human Resources and Recruitment,11.0,70000.0
72,45.0,Male,PhD,Management and Leadership,16.0,190000.0
73,28.0,Male,Bachelor's,Information Technology,2.0,40000.0
74,42.0,Female,Master's,Management and Leadership,14.0,120000.0
75,37.0,Male,Bachelor's,Operations and Project Management,10.0,95000.0
76,50.0,Female,Bachelor's,Management and Leadership,22.0,160000.0
